ID_NM,Loại hình,TEN_NM,CS_COD,COD,KINHDO,VIDO,PHONE,,,,,
122,Gió,ĐG Phong Điện 1 - Bình Thuận,30,9/12/2009,108.67437,11.215312,02523951866,,,,,
149,Gió,ĐG Bạc Liêu,99.2,6/20/2013,105.824897,9.240214,02916559971,,,,,
213,Gió,ĐG Phú Lạc,24,9/11/2016,108.696449,11.224929,02523967888,,,,,
220,Gió,ĐG Hướng Linh 2,30,9/1/2017,106.782167,16.71477,02332221686,,,,,
231,Gió,ĐG Hướng Linh 1,30,11/21/2019,106.774081,16.711858,02332221686,,,,,
241,Gió,ĐG Đầm Nại,39.375,12/13/2018,109.059411,11.667726,0259.627.0088,,,,,
301,Gió,ĐG Tây Nguyên,28.8,6/8/2021,108.266058,13.16518,02623660099,,,,,
308,Mặt trời,MT Phong Điền,35,1/1/2019,107.379098,16.733615,02346298967,,,,,
309,Gió,ĐG Trung Nam,151.95,6/4/2021,109.025714,11.692953,,,,,,
310,Mặt trời,MT Krông Pa,49,11/28/2018,108.660862,13.228218,02693622728,,,,,
313,Gió,ĐG Mũi Dinh,37.6,4/23/2019,108.974047,11.41228,02592235888,,,,,
315,Mặt trời,MT Srêpôk 1,42.1,1/28/2019,107.826948,12.815108,,,,,,
316,Mặt trời,MT Quang Minh,40.9,1/31/2019,107.826948,12.815108,,,,,,
317,Mặt trời,MT BP Solar 1,41.4,3/8/2019,108.879442,11.527729,02596271616,,,,,
318,Mặt trời,MT TTĐL Vĩnh Tân,4.42,1/1/2019,,,,,,,,
319,Mặt trời,MT TTC số 1,48,3/6/2019,106.28,11.03,02763777768,,,,,
320,Mặt trời,MT TTC số 2,40.8,4/19/2019,106.3192,11.0213,02763777668,,,,,
321,Mặt trời,MT Yên Định,30,1/1/2019,105.624,20.005,,,,,,
322,Mặt trời,MT CMX,143.77,6/15/2019,108.811,11.7097,02596267997,,,,,
323,Mặt trời,MT Đa Mi,42,6/1/2019,107.8388,11.2517,,,,,,
324,Mặt trời,MT Cư Jút,50,4/20/2019,107.87,12.6,02612460999,,,,,
325,Mặt trời,MT Trung Nam,204,6/18/2019,109.025714,11.692953,02593900036,,,,,
326,Mặt trời,MT BIM,25,4/23/2019,108.896497,11.444837,,,,,,
327,Mặt trời,MT Cát Hiệp,42,6/5/2019,109.0177,14.0175,,,,,,
328,Mặt trời,MT KCN Châu Đức,58,6/26/2019,107.180778,10.579722,0932122065,,,,,
329,Mặt trời,MT Đá Bạc,48,6/6/2019,107.2833,10.5667,02543962288,,,,,
330,Mặt trời,MT Đá Bạc 2,48,5/5/2019,107.2777,10.5836,02543878888,,,,,
331,Mặt trời,MT Đá Bạc 3,42,5/15/2019,107.2777,10.5836,02543878999,,,,,
332,Mặt trời,MT Đá Bạc 4,42,6/21/2019,107.2733,10.5867,02543962288,,,,,
333,Mặt trời,MT Hàm Phú 2,40.8,4/21/2019,108.0734225,11.15512193,02523699007,,,,,
334,Mặt trời,MT Sông Lũy 1,39,5/13/2019,108.318056,11.196389,02522481066,,,,,
335,Mặt trời,MT Phong Phú,38,5/9/2019,108.637,11.226,02523699666,,,,,
336,Mặt trời,MT Vĩnh Hảo,29.99,1/1/2019,108.733312,11.281852,,,,,,
337,Mặt trời,MT Hồng Phong 1A,150,6/8/2019,108.2711,11.05472,02523658866,,,,,
338,Mặt trời,MT Hồng Phong 1B,100,1/1/2019,108.29806,11.07583,,,,,,
339,Mặt trời,MT Hồng Phong 4,44,6/4/2019,108.1918,11.0238,02522481889,,,,,
340,Mặt trời,MT Vĩnh Hảo 4,36.8,1/1/2019,108.7329,11.281058,02523900999,,,,,
341,Mặt trời,MT Eco Seido Tuy Phong,40,6/10/2019,107.69,11.24,02522481455,,,,,
342,Mặt trời,MT Jang Pông,26.83,4/24/2019,107.8312498,12.8732839,02622490005,,,,,
343,Mặt trời,MT Cẩm Hòa,43.75,6/13/2019,106.02,18.33,,,,,,
344,Mặt trời,MT Sông Giang,45.9,5/8/2019,109.5,11.53,02586259595,,,,,
345,Mặt trời,MT Đức Huệ 1,40.8,4/20/2019,106.3,10.9,02723838792,,,,,
346,Mặt trời,MT Gelex Ninh Thuận,42,5/13/2019,108.997,11.436,02596267726,,,,,
347,Mặt trời,MT Hồ Bầu Ngứ,50,6/27/2019,108.977,11.4683,02596267668,,,,,
348,Mặt trời,MT Phước Hữu Điện Lực 1,28.05,5/9/2019,108.504267,10.295556,02596267699,,,,,
349,Mặt trời,MT Bách Khoa Á Châu,25,5/28/2019,,,02762460118,,,,,
350,Mặt trời,MT Trí Việt 1,25,5/28/2019,,,02762460114,,,,,
351,Mặt trời,MT Trung Nam Trà Vinh,140.8,1/1/2019,106.501239,9.592644,,,,,,
352,Mặt trời,MT Hoà Hội,214.16,6/10/2019,109.1,13.05,02573889977,,,,,
353,Mặt trời,MT Solarpark 1,40.8,9/20/2019,106.3148294,10.76477848,0326885536,,,,,
354,Mặt trời,MT Solarpark 2,40.8,6/30/2019,106.3148294,10.76477848,0326885536,,,,,
355,Mặt trời,MT Solarpark 3,40.8,7/28/2020,106.3095082,10.76631716,0326885536,,,,,
356,Mặt trời,MT Solarpark 4,40.8,8/10/2022,106.3095082,10.76631716,0326885536,,,,,
357,Mặt trời,MT Mỹ sơn Hoàn lộc việt,41.25,1/1/2019,108.821,11.712,02596267778,,,,,
358,Mặt trời,MT Thuận Nam 19,49,6/20/2019,108.854,11.425,02593900058,,,,,
359,Mặt trời,MT Nhị Hà,41.244,1/1/2019,108.799444,11.428056,,,,,,
360,Mặt trời,MT BIM 2,250,5/11/2019,108.89,11.42,02593900022,,,,,
361,Mặt trời,MT Long Thành 1,43.8,6/22/2019,107.675833,13.323889,02623688988,,,,,
362,Mặt trời,MT Sao Mai,194.895,6/15/2019,105.018217,10.467005,02963773090,,,,,
363,Mặt trời,MT BIM 3,41.244,5/7/2019,108.88,11.39,,,,,,
364,Mặt trời,MT Dầu Tiếng 1,150,6/3/2019,106.217046,11.466325,,,,,,
365,Mặt trời,MT Fujiwara Bình Định,40,6/26/2019,109.27251,13.863026,02563596888,,,,,
366,Mặt trời,MT Sơn Mỹ 3.1,43,1/1/2019,107.67,10.67,,,,,,
367,Mặt trời,MT Hàm Kiệm,45,5/26/2019,108.0101,10.9071,02523900001,,,,,
368,Mặt trời,MT Mũi Né,35.75,6/4/2019,108.319283,10.998272,02522481968,,,,,
369,Mặt trời,MT Hàm Kiệm 1,38.88,10/17/2020,108.009506,10.905233,02523898886,,,,,
370,Mặt trời,MT Chư Ngọc GĐ 1,12.7,6/1/2019,13.175,108.722,02693607669,,,,,
371,Mặt trời,MT Điện lực miền Trung,50,6/28/2019,109.091764,12.008291, 02582218889,,,,,
372,Mặt trời,MT Ninh Phước 6.1 & 6.2,49,1/1/2019,108.873,11.527,,,,,,
373,Mặt trời,MT Hoàng Thái Gia,40,6/6/2019,106.166,11.0996,02762460025,,,,,
374,Mặt trời,MT Bình Hòa,10,1/1/2019,,,,,,,,
375,Mặt trời,MT Dầu Tiếng 2,200,6/13/2019,106.1982,11.4628,02835123288,,,,,
376,Mặt trời,MT BMT,25,4/25/2019,108.366201,12.779527,02623777000,,,,,
377,Mặt trời,MT AMI Khánh Hòa,47.5,5/24/2019,109.1299,11.9829,02583900202,,,,,
378,Mặt trời,MT Bình Nguyên,40.8,5/27/2019,108.711122,15.332372,02553515179,,,,,
379,Mặt trời,MT Mộ Đức,17.298,1/1/2019,,,,,,,,
380,Mặt trời,MT HCG Tây Ninh,40,6/6/2019,106.16,11.102,02762460027,,,,,
381,Mặt trời,MT Văn Giáo 1,40,6/30/2019,104.968289,10.574367,02962479234,,,,,
382,Mặt trời,MT Văn Giáo 2,40,6/30/2019,104.965769,10.575999,02962479866,,,,,
383,Mặt trời,MT Đầm Trà Ổ,41.65,12/23/2020,,,02562478869,,,,,
384,Mặt trời,MT Phan Lâm,30,6/25/2019,108.3643,11.3312,02522481475,,,,,
385,Mặt trời,MT VSP Binh Thuận II,26.48,1/1/2019,11.2938275,108.7177416,02522481025,,,,,
386,Mặt trời,MT Bình An,42.5,6/25/2019,108.42535,11.307872,02522481477,,,,,
387,Mặt trời,MT Thuận Minh 2,42.5,6/27/2019,108.05,11.114,02522481879,,,,,
388,Mặt trời,MT Vĩnh Hảo 6,44.681,1/1/2019,108.740571,11.315033,02523900868,,,,,
389,Mặt trời,MT Tuy Phong,30,6/30/2019,108.72761,11.28513,02523900979,,,,,
391,Mặt trời,MT Hậu Giang,29,12/26/2020,,,02933982935,,,,,
392,Mặt trời,MT Phong Điền 2,44,12/18/2020,107,16,02342462068,,,,,
393,Mặt trời,MT KN Cam Lâm,45,1/1/2019,109.0807,11.9945,02583903666,,,,,
394,Mặt trời,MT Cam Lâm VN,45,6/25/2019,109.08,11.99,02583903666,,,,,
395,Mặt trời,MT Tuấn Ân,9.6,1/1/2019,,,,,,,,
396,Mặt trời,MT BCG Băng Dương,34.38,6/23/2019,106.16,10.61,02723685888,,,,,
397,Mặt trời,MT Europlast Long An,40.8,6/10/2019,106.2744,10.9236,,,,,,
399,Mặt trời,MT Sinenergy Ninh Thuận 1,42.5,12/24/2019,108.8677186,11.5468881,02596267138,,,,,
401,Mặt trời,MT Mỹ Sơn,50,6/30/2020,108.78,11.67,02593823686,,,,,
402,Mặt trời,MT Xuân Thọ 1,45.9,6/11/2019,109.163855,13.413346,02573875278,,,,,
403,Mặt trời,MT Xuân Thọ 2,45.9,6/12/2019,109.179288,13.375804,02573875279,,,,,
404,Mặt trời,MT Europlast Phú Yên,44.688,6/30/2019,109.096028,12.974419,02573596646,,,,,
405,Mặt trời,MT Thịnh Long AAA Phú Yên,43.75,6/30/2019,109.098925,12.962903,02573596648,,,,,
406,Mặt trời,MT Thành Long Phú Yên,43.875,12/17/2020,109.091,13.001,02573596644,,,,,
407,Mặt trời,MT LIG Quảng Trị,41.244,5/22/2019,107.151823,16.919022,02333639666,,,,,
408,Mặt trời,MT Tân Châu 1,41.244,10/1/2020,106.26,11.475,02762460198,,,,,
409,Mặt trời,MT Phước Hữu,50,6/20/2019,108.85,11.51,,,,,,
410,Mặt trời,MT Trúc Sơn,36.48,6/14/2019,108.321553,11.044136,02613707060,,,,,
411,Mặt trời,MT Dohwa Lệ Thủy,45.696,12/29/2020,106.51,17.13,02323898068,,,,,
412,Mặt trời,MT Hacom Solar,40.8,10/31/2019,11.404472,108.8542293,02593663636,,,,,
413,Mặt trời,MT Bầu Zôn,20.622,1/1/2019,,,,,,,,
414,Mặt trời,MT Adani Phước Minh,38.675,9/18/2020,108.885016,11.437411,02593900955,,,,,
415,Mặt trời,MT Xuân Thiện Thuận Bắc GĐ1,125,4/11/2020,11.68583,109.004225,02596267995,,,,,
416,Mặt trời,MT Thuận Nam Đức Long,43.29,12/28/2019,11.41,108.86,02593900038,,,,,
417,Mặt trời,MT Hồng Phong 5.2,40.25,12/29/2020,108.27,11.08,02522228666,,,,,
418,Mặt trời,MT Mỹ Sơn 2,40.8,6/29/2020,108.78,11.67,02593824586,,,,,
426,Mặt trời,MT Dầu Tiếng 3,150,6/26/2019,106.232196,11.448039,,,,,,
427,Mặt trời,MT Vĩnh Tân 2,38.7,6/24/2019,108.796739,11.33381,02523900666,,,,,
428,Mặt trời,MT Gaia,75,1/1/2019,106.0127,10.698431,02723581999,,,,,
448,Gió,ĐG Phương Mai 3,20.79,3/28/2020,109.24015,13.91266005,,,,,,
453,Mặt trời,MT Thiên Tân Solar Ninh Thuận,45,3/12/2020,108.967,11.685,0259 3880277,,,,,
454,Mặt trời,MT Xuân Thiện Thuận Bắc GĐ2,75,4/11/2020,11.686,109.00508,02596267996,,,,,
455,Gió,ĐG Đại Phong,40,7/23/2020,108.2955556,10.98555556,02522222227,,,,,
456,Mặt trời,MT Phước Thái 1,42.5,7/9/2020,108.86,11.57,,,,,,
458,Mặt trời,MT Phước Ninh,36.925,6/27/2020,,,02596267368,,,,,
459,Mặt trời,MT Solar Farm Nhơn Hải,28,7/6/2020,109.094856,11.60585,02593900333,,,,,
460,Mặt trời,MT SP Infra 1,44.1,9/4/2020,108.51,11.34,02596267889,,,,,
461,Mặt trời,MT Xuân Thiện - Ea Súp 1,100,12/12/2020,,131652.03,02623599991,,,,,
462,Mặt trời,MT Xuân Thiện - Ea Súp 2,100,12/12/2020,,131652.03,02623599992,,,,,
463,Mặt trời,MT Xuân Thiện - Ea Súp 3,100,12/12/2020,,131652.03,02623599993,,,,,
464,Mặt trời,MT Xuân Thiện - Ea Súp 4,150,12/15/2020,13.2949035,107.741593,02623599997,,,,,
465,Mặt trời,MT Xuân Thiện - Ea Súp 5,150,12/15/2020,,131652.03,0262359998,,,,,
466,Mặt trời,MT Thuận Nam 12,44.1,8/10/2020,11.27,108.47,02596508899,,,,,
469,Mặt trời,MT Trung Nam Thuận Nam,450,10/1/2020,11.43138611,108.8473046,02593623780,,,,,
475,Mặt trời,MT Sê san 4,40.625,11/22/2020,107.4905371,13.9687907,,,,,,
478,Gió,ĐG Đông Hải 1,50,4/21/2021,105.56853,9.13914,02913789111,,,,,
479,Mặt trời,MT Hồ Núi Một 1,42.48,12/15/2020,,,02596276666,,,,,
480,Mặt trời,MT Phan Lâm 2,40.95,12/13/2020,108.37,11.31,0252222568,,,,,
481,Mặt trời,MT Gio Thành 1,41.65,12/10/2020,,,,,,,,
482,Mặt trời,MT Gio Thành 2,41.65,12/10/2020,,,,,,,,
483,Mặt trời,MT KN Vạn Ninh,83.48,12/11/2020,109.17,12.59,02583940999,,,,,
484,Mặt trời,MT Phù Mỹ 1,100,12/14/2020,109.1630263,14.3000704,02566559999,,,,,
485,Mặt trời,MT Phù Mỹ 2,93.75,12/14/2020,109.158361,14.304326,02566559999,,,,,
486,Mặt trời,MT Phù Mỹ 3,81.25,12/14/2020,109.151986,14.312595,02566559999,,,,,
487,Mặt trời,MT Trung Sơn,28,12/24/2020,109.1,12.01,02583995668,,,,,
488,Mặt trời,MT Thác Mơ,40.8,12/10/2020,,,02712216371,,,,,
489,Mặt trời,MT Hồ Gia Hoét (GĐ1),29.925,12/12/2020,107.2,10.7,02546291777,,,,,
490,Mặt trời,MT Hồ Tầm Bó,29.925,12/12/2020,107.26875,10.70088715,02546516777,,,,,
491,Mặt trời,MT Sông Lũy,14,1/1/2020,,,,,,,,
492,Mặt trời,MT Mỹ Hiệp,40.075,12/16/2020,14.11,109.01,02563856667,,,,,
493,Mặt trời,MT Long Sơn,142.8,1/1/2019,109.098,12.614,,,,,,
494,Mặt trời,MT Lộc Ninh 1,187.158,12/31/2020,,,02713547009,,,,,
495,Mặt trời,MT Lộc Ninh 2,187.158,12/24/2020,,,02713547002,,,,,
496,Mặt trời,MT Lộc Ninh 3,124.772,12/26/2020,,,02713547003,,,,,
497,Mặt trời,MT Lộc Ninh 4,163.2,12/31/2020,106.5,11.9,02713547345,,,,,
498,Mặt trời,MT Lộc Ninh 5,40.8,12/26/2020,106.49,11.89,02713547678,,,,,
499,Mặt trời,MT Hồng Liêm 3,41.65,12/24/2020,108.3,11.1,02523900089,,,,,
500,Mặt trời,MT VNECO - Vĩnh Long,43.75,,,,02702463579,,,,,
501,Gió,ĐG V1-3 Bến Tre,29.4,6/26/2021,106.645614,9.983215,02752225588,,,,,
502,Mặt trời,MT Cẩm Hưng,23.2,12/29/2020,,,02393861789,,,,,
503,Mặt trời,MT Thiên Tân 1.2,85.4,,,,02592244445,,,,,
504,Mặt trời,MT Thiên Tân 1.3,32.9,12/31/2020,,,02592244446,,,,,
505,Mặt trời,MT Thiên Tân 1.4,78.925,1/1/2019,108.85,11.51,,,,,,
508,Gió,ĐG Chính Thắng,49.8,10/12/2021,108.90254,11.50621,02596283666,,,,,
510,Gió,ĐG số 5 Thạnh Hải 1,30,10/29/2021,106.6923478,9.92438174,02756283283,,,,,
511,Gió,ĐG Hồng Phong 1,40,10/22/2021,108.323303,11.008936,+84 252 2222262,,,,,
512,Gió,ĐG Số 5 Ninh Thuận,46.2,9/17/2021,108.872,11.50763,02593855005,,,,,
513,Gió,ĐG Đông Hải 1 Trà Vinh,100,10/31/2021,106.766307,16.576056,02946271717,,,,,
514,Gió,ĐG Số 7A,50,10/30/2021,108.906797,11.432801,02596288989,,,,,
515,Gió,ĐG Bình Đại,30,10/31/2021,,,02753741666,,,,,
516,Gió,ĐG Hướng Tân,46.2,10/14/2021,106.6955321,16.66457842,02332221968,,,,,
517,Gió,ĐG Tân Linh,46.2,10/14/2021,106.6947769,16.66260606,02332221266,,,,,
518,Gió,ĐG Hàn Quốc - Trà Vinh,48,10/21/2021,106.5502,9.615383,02943900026,,,,,
519,Gió,ĐG Quốc Vinh Sóc Trăng,30,10/29/2021,106.17,9.38,02996559555,,,,,
520,Gió,ĐG AMACCAO Quảng Trị 1,49.2,10/22/2021,106.72,16.58,,,,,,
521,Gió,ĐG Lạc Hòa - GĐ1,25,10/31/2021,106.066,9.3616,02996553555,,,,,
523,Gió,ĐG Cầu Đất,60,12/22/2023,11.887276,108.564659,02636261199,,,,,
524,Gió,ĐG V.P.L Bến Tre,29.4,10/30/2021,106.8103186,10.06719151,,,,,,
525,Gió,ĐG Phong Liệu,48,10/27/2021,106.6537301,16.69949268,02332221818,,,,,
526,Gió,ĐG Hòa Bình 1,50,7/27/2021,105.686065,9.148538,09276287777,,,,,
527,Gió,ĐG Hòa Bình 1 GĐ 2,50,10/29/2021,105.6953,9.1912,02916289999,,,,,
528,Gió,ĐG Liên Lập,48,10/18/2021,106.70765,16.66345,02332221568,,,,,
529,Gió,ĐG BT1,109.2,10/16/2021,106.7,17.3,02322478666,,,,,
530,Gió,ĐG BT2 Giai đoạn 1,100.8,10/30/2021,106.7,17.2,,,,,,
531,Gió,ĐG Phong Nguyên,48,10/22/2021,107.837,16.67,02332221866,,,,,
532,Gió,ĐG Phong Huy,48,10/26/2021,107.9,16.66,02332221688,,,,,
533,Gió,ĐG Đông Hải 1 GĐ 2,50,9/27/2021,105.5667,9.139444,02913789222,,,,,
534,Gió,ĐG BIM 4,88,9/30/2021,108.889,11.417,02593778666,,,,,
535,Gió,ĐG Thái Hòa,90,10/31/2021,108.3646503,11.0718388,02522200088,,,,,
536,Gió,ĐG Hòa Bình 5,79.8,10/31/2021,105.634522,9.176453,02916263636,,,,,
537,Gió,ĐG Hanbaram Lô 1,48,10/31/2021,109.008219,11.742394,02593625068,,,,,
538,Gió,ĐG Hanbaram Lô 2&3,69,,16.681703,109.032038,02593871369,,,,,
539,Gió,ĐG Kosy Bạc Liêu,40,10/30/2021,105.49,9.31,,,,,,
540,Gió,ĐG Gelex 1,29.4,10/28/2021,106.72,16.71,,,,,,
541,Gió,ĐG Gelex 2,29.4,10/28/2021,106.74,16.7,,,,,,
542,Gió,ĐG Gelex 3,29.4,10/28/2021,106.74,16.72,,,,,,
543,Gió,ĐG Hướng Phùng 2,20,10/29/2021,106.631664,16.720242,02333638666,,,,,
544,Gió,ĐG Hướng Phùng 3,29.4,10/29/2021,106.646094,16.715556,02333638666,,,,,
545,Gió,ĐG Hòa Bình 2,50,10/30/2021,105.6012,9.103789,02916526666,,,,,
546,Gió,ĐG V1-2 Trà Vinh,48,10/21/2021,106.68,9.63,02943900033,,,,,
548,Gió,ĐG Ia Bang 1,50,10/29/2021,107.9820486,13.7027599,02693880777,,,,,
549,Gió,ĐG Ea Nam,399.6,10/31/2021,108.297778,13.142778,,,,,,
550,Gió,ĐG Phương Mai 1,26.4,10/24/2021,109.2510128,13.9110908,02563900779,,,,,
553,Gió,ĐG Viên An,49.6,7/21/2023,11.505,108.869,02902229929,,,,,
554,Gió,ĐG Hàm Cường 2,20,10/30/2021,107.5955002,10.5051732,02523900909,,,,,
555,Gió,ĐG số 7 Sóc Trăng,29.4,10/24/2021,9.321857,106.0821,02992495069,,,,,
556,Gió,ĐG Tân Thuận,75,10/23/2021,105.401664,8.997714,,,,,,
558,Gió,ĐG Hòa Đông,30,12/30/2023,,,,,,,,
560,Gió,ĐG Nhơn Hội,60,10/27/2021,109.165,13.512,02563900069,,,,,
561,Gió,ĐG V1-3 Trà Vinh,48,10/27/2021,106.57581,9.66213,02943900868,,,,,
563,Gió,ĐG Cửu An,46.2,10/27/2021,108.725798,14.014515,02693873888,,,,,
564,Gió,ĐG Nhơn Hòa 1,50,10/22/2021,108.0736,13.5498,02692222079,,,,,
565,Gió,ĐG Nhơn Hòa 2,50,10/22/2021,108.0925,13.54278,02692222078,,,,,
566,Gió,ĐG Ia Pết - Đak Đoa 1,99,10/28/2021,108.2168,13.902,02693883567,,,,,
567,Gió,ĐG Ia Pết - Đak Đoa 2,99,10/28/2021,108.2168,13.902,02693883678,,,,,
568,Gió,ĐG Hưng Hải Gia Lai,100,10/31/2021,13.5025,108.2827,02696288886,,,,,
569,Gió,ĐG Hướng Linh 7,29.4,10/31/2021,106.7615,16.72179,02333567979,,,,,
570,Gió,ĐG Hướng Linh 8,25.2,10/31/2021,106.709661,16.693233,02333577979,,,,,
571,Gió,ĐG Tân Ân 1,25,10/31/2021,105.16353,8.682454,,,,,,"9.740837592843008, 106.56124729999999"
572,Gió,ĐG Hiệp Thạnh,77.3,10/31/2021,106.5612473,9.740837593,02942235555,,,,,
573,Gió,ĐG Ia Le 1,100,10/31/2021,108.128464,13.448183,02692202122,,,,,
574,Gió,ĐG Tân Phú Đông,150,10/31/2021,106.760426,10.286112,02736299939,,,,,
575,Gió,ĐG HBRE Chư Prông,50,10/29/2021,107.580905,13.455219,02692200001,,,,,
576,Gió,ĐG Tài Tâm,48,10/29/2021,106.7535483,16.57380436,05333552668,,,,,
577,Gió,ĐG Hoàng Hải,49.6,10/29/2021,106.755778,16.60375,05333550668,,,,,
578,Gió,ĐG Thuận Nhiên Phong,19,10/31/2021,108.4023481,11.0489971,02522233555,,,,,
581,Gió,ĐG Lợi Hải 2,28.8,10/29/2021,106.56,11.75,02596288866,,,,,
582,Gió,ĐG Phú Lạc - Giai đoạn 2,25.2,10/26/2021,108.696449,11.224929,02523967888,,,,,
583,Gió,ĐG Phước Hữu - Duyên Hải 1,29.7,10/29/2021,108.87914,11.489866,02593900055,,,,,
2000,Gió,ĐG Phước Minh,27.2,10/27/2021,108.8848893,11.43658611,,,,,,
2002,Gió,ĐG Ia Pech,16.5,10/31/2021,107.943139,13.943983,02693888279,,,,,
2003,Gió,ĐG Ia Pech 2,49.5,1/25/2024,,,,,,,,
2005,Gió,ĐG BT2 Giai đoạn 2,42,10/31/2021,,,,,,,,
2011,Gió,ĐG Lạc Hòa 2,123.6,8/15/2023,924.14,1065.31,02993896888,,,,,
2012,Gió,ĐG Hướng Hiệp 1,30,10/31/2021,106.776568,16.707765,02333868268,,,,,
2014,Gió,ĐG Chơ Long,49.5,10/31/2021,108.4538895,13.76932724,02693888136,,,,,
2015,Gió,ĐG Đắk Hòa,49.5,10/31/2021,107.63995,12.338675,02613710071,,,,,
2016,Gió,ĐG số 5 Thạnh Hải 2,4.25,10/31/2021,106.698,9.913,02756283283,,,,,
2020,Gió,ĐG Song An,46.2,1/4/2024,,,,,,,,
2021,Gió,ĐG Bình Đại 2,49,7/21/2023,,,0275.3741.666,,,,,
2022,Gió,ĐG Bình Đại 3,49,7/21/2023,106.85661,10.151027,02753741666,,,,,
2023,Gió,ĐG Hòa Đông 2,72,10/31/2021,106.05,9.43,02993992666,,,,,
2027,Gió,ĐG Tân Ân 1 GĐ 2021-2025 (45MW),45,8/10/2023,,,,,,,,
2258,Gió,ĐG Thanh Phong,29.7,9/29/2023,9.930518,106.652973,02756268999,,,,,
2698,Gió,ĐG Số 20 Sóc Trăng,30,3/11/2024,,,,,,,,
2917,Gió,ĐG Hướng Linh 3,28.8,2/12/2023,,,,,,,,
3458,Gió,ĐG Tân Ân 1 GĐ 2021-2025 (30MW),29.4,2/17/2025,,,,,,,,
